Number,Name,Collection,Stats,User,Low,Suggested,High,Current,Current(adjusted),Share(current),Free Bet,Parlay,Monthly,ROI(monthly),ROI(no shares)
3191,Soccer ,Sports Rollbots·$568,$22.57·$32·113%,Code Goater,$1.04K,$1.74K,$2.92K,$1.45K,"=IFERROR(LEFT(I647,LEN(I647)-1)*10^(SEARCH(RIGHT(I647),""kmbt"")*3),I647)","=LEFT(D647,SEARCH(""·"",D647)-1)","=MID(D647,SEARCH(""·"",D647)+2,SEARCH(""·"",D647,SEARCH(""·"",D647)+1)-SEARCH(""·"",D647)-2)","=RIGHT(D647,4)",=K647+0.6*L647,=J647/N647,=J647/(0.6*L647)
5139,Counter-Strike ,Sports Rollbots·$568,$37.26·$70·107%,solbero,$936,$1.55K,$2.57K,$1.45K,"=IFERROR(LEFT(I648,LEN(I648)-1)*10^(SEARCH(RIGHT(I648),""kmbt"")*3),I648)","=LEFT(D648,SEARCH(""·"",D648)-1)","=MID(D648,SEARCH(""·"",D648)+2,SEARCH(""·"",D648,SEARCH(""·"",D648)+1)-SEARCH(""·"",D648)-2)","=RIGHT(D648,4)",=K648+0.6*L648,=J648/N648,=J648/(0.6*L648)
1655,Boxing ,Sports Rollbots·$568,$2.77·$20·109%,CakiMaggot,$872,$1.43K,$2.35K,$1.45K,"=IFERROR(LEFT(I649,LEN(I649)-1)*10^(SEARCH(RIGHT(I649),""kmbt"")*3),I649)","=LEFT(D649,SEARCH(""·"",D649)-1)","=MID(D649,SEARCH(""·"",D649)+2,SEARCH(""·"",D649,SEARCH(""·"",D649)+1)-SEARCH(""·"",D649)-2)","=RIGHT(D649,4)",=K649+0.6*L649,=J649/N649,=J649/(0.6*L649)
7727,Cricket ,Sports Rollbots·$568,$1.34·$150·104%,Hidden,$1.02K,$1.7K,$2.84K,$1.45K,"=IFERROR(LEFT(I650,LEN(I650)-1)*10^(SEARCH(RIGHT(I650),""kmbt"")*3),I650)","=LEFT(D650,SEARCH(""·"",D650)-1)","=MID(D650,SEARCH(""·"",D650)+2,SEARCH(""·"",D650,SEARCH(""·"",D650)+1)-SEARCH(""·"",D650)-2)","=RIGHT(D650,4)",=K650+0.6*L650,=J650/N650,=J650/(0.6*L650)
3584,Bowls ,Sports Rollbots·$568,$3.04·$22·108%,Rollbot,$1.13K,$1.91K,$3.24K,$1.47K,"=IFERROR(LEFT(I651,LEN(I651)-1)*10^(SEARCH(RIGHT(I651),""kmbt"")*3),I651)","=LEFT(D651,SEARCH(""·"",D651)-1)","=MID(D651,SEARCH(""·"",D651)+2,SEARCH(""·"",D651,SEARCH(""·"",D651)+1)-SEARCH(""·"",D651)-2)","=RIGHT(D651,4)",=K651+0.6*L651,=J651/N651,=J651/(0.6*L651)
9171,Soccer ,Sports Rollbots·$568,$4.51·$70·117%,Rollbot,$1.19K,$2.03K,$3.45K,$1.47K,"=IFERROR(LEFT(I652,LEN(I652)-1)*10^(SEARCH(RIGHT(I652),""kmbt"")*3),I652)","=LEFT(D652,SEARCH(""·"",D652)-1)","=MID(D652,SEARCH(""·"",D652)+2,SEARCH(""·"",D652,SEARCH(""·"",D652)+1)-SEARCH(""·"",D652)-2)","=RIGHT(D652,4)",=K652+0.6*L652,=J652/N652,=J652/(0.6*L652)
8589,Basketball ,Sports Rollbots·$568,$29.25·$20·105%,EsIstNichtWahr,$784,$1.27K,$2.07K,$1.47K,"=IFERROR(LEFT(I653,LEN(I653)-1)*10^(SEARCH(RIGHT(I653),""kmbt"")*3),I653)","=LEFT(D653,SEARCH(""·"",D653)-1)","=MID(D653,SEARCH(""·"",D653)+2,SEARCH(""·"",D653,SEARCH(""·"",D653)+1)-SEARCH(""·"",D653)-2)","=RIGHT(D653,4)",=K653+0.6*L653,=J653/N653,=J653/(0.6*L653)
7732,League of Legends ,Sports Rollbots·$568,$2.77·$38·108%,Rollbot,$892,$1.47K,$2.42K,$1.48K,"=IFERROR(LEFT(I654,LEN(I654)-1)*10^(SEARCH(RIGHT(I654),""kmbt"")*3),I654)","=LEFT(D654,SEARCH(""·"",D654)-1)","=MID(D654,SEARCH(""·"",D654)+2,SEARCH(""·"",D654,SEARCH(""·"",D654)+1)-SEARCH(""·"",D654)-2)","=RIGHT(D654,4)",=K654+0.6*L654,=J654/N654,=J654/(0.6*L654)
5509,Cycling ,Sports Rollbots·$568,$4.08·$20·111%,810ofclubs,$1.07K,$1.8K,$3.03K,$1.49K,"=IFERROR(LEFT(I655,LEN(I655)-1)*10^(SEARCH(RIGHT(I655),""kmbt"")*3),I655)","=LEFT(D655,SEARCH(""·"",D655)-1)","=MID(D655,SEARCH(""·"",D655)+2,SEARCH(""·"",D655,SEARCH(""·"",D655)+1)-SEARCH(""·"",D655)-2)","=RIGHT(D655,4)",=K655+0.6*L655,=J655/N655,=J655/(0.6*L655)
4984,Darts ,Sports Rollbots·$568,$5.32·$34·116%,reroll,$1.21K,$2.06K,$3.51K,$1.49K,"=IFERROR(LEFT(I656,LEN(I656)-1)*10^(SEARCH(RIGHT(I656),""kmbt"")*3),I656)","=LEFT(D656,SEARCH(""·"",D656)-1)","=MID(D656,SEARCH(""·"",D656)+2,SEARCH(""·"",D656,SEARCH(""·"",D656)+1)-SEARCH(""·"",D656)-2)","=RIGHT(D656,4)",=K656+0.6*L656,=J656/N656,=J656/(0.6*L656)
6501,Baseball ,Sports Rollbots·$568,$48.42·$26·115%,JaxDraper,$1.13K,$1.92K,$3.24K,$1.49K,"=IFERROR(LEFT(I657,LEN(I657)-1)*10^(SEARCH(RIGHT(I657),""kmbt"")*3),I657)","=LEFT(D657,SEARCH(""·"",D657)-1)","=MID(D657,SEARCH(""·"",D657)+2,SEARCH(""·"",D657,SEARCH(""·"",D657)+1)-SEARCH(""·"",D657)-2)","=RIGHT(D657,4)",=K657+0.6*L657,=J657/N657,=J657/(0.6*L657)
6116,Counter-Strike ,Sports Rollbots·$568,$37.26·$80·107%,fooops,$969,$1.61K,$2.68K,$1.49K,"=IFERROR(LEFT(I658,LEN(I658)-1)*10^(SEARCH(RIGHT(I658),""kmbt"")*3),I658)","=LEFT(D658,SEARCH(""·"",D658)-1)","=MID(D658,SEARCH(""·"",D658)+2,SEARCH(""·"",D658,SEARCH(""·"",D658)+1)-SEARCH(""·"",D658)-2)","=RIGHT(D658,4)",=K658+0.6*L658,=J658/N658,=J658/(0.6*L658)
1913,Rocket League ,Sports Rollbots·$568,$1.66·$24·101%,NoobHere,$668,$1.07K,$1.7K,$1.49K,"=IFERROR(LEFT(I659,LEN(I659)-1)*10^(SEARCH(RIGHT(I659),""kmbt"")*3),I659)","=LEFT(D659,SEARCH(""·"",D659)-1)","=MID(D659,SEARCH(""·"",D659)+2,SEARCH(""·"",D659,SEARCH(""·"",D659)+1)-SEARCH(""·"",D659)-2)","=RIGHT(D659,4)",=K659+0.6*L659,=J659/N659,=J659/(0.6*L659)
